mcg_code,mcg_original_code,title,url,confidence,found_code_in,found_title_in,source_toc_url,category_path,page_title
M000,M0,"Mastectomy, Complete, with Tissue Flap Reconstruction",https://careweb.careguidelines.com/ed30/isc/0770250a.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=General%20Surgery,,"ISC - Mastectomy, Complete, with Tissue Flap Reconstruction"
M002,m2,"Aortic Aneurysm, Thoracic, Repair with Graft",https://careweb.careguidelines.com/ed30/isc/0418100a.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiovascular%20Surgery,,"ISC - Aortic Aneurysm, Thoracic, Repair with Graft"
M005,M-05,Abdominal Pain,https://careweb.careguidelines.com/ed30/isc/1408010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Abdominal Pain
M035,M-35,Anemia,https://careweb.careguidelines.com/ed30/isc/0764010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Hematology%20-%20Oncology,,ISC - Anemia
M040,M-40,Angina,https://careweb.careguidelines.com/ed30/isc/0428100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Angina
M052,M-52,Percutaneous Coronary Intervention,https://careweb.careguidelines.com/ed30/isc/0428610b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Percutaneous Coronary Intervention
M070,M-70,Cellulitis,https://careweb.careguidelines.com/ed30/isc/1701060b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,ISC - Cellulitis
M078,M-78,"Traumatic Brain Injury, Nonsurgical Treatment",https://careweb.careguidelines.com/ed30/isc/0202630b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Traumatic Brain Injury, Nonsurgical Treatment"
M079,M-79,"Subarachnoid Hemorrhage, Nonsurgical Treatment",https://careweb.careguidelines.com/ed30/isc/0224350b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Subarachnoid Hemorrhage, Nonsurgical Treatment"
M083,M-83,Stroke: Ischemic,https://careweb.careguidelines.com/ed30/isc/0224500b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Stroke: Ischemic
M085,M-85,Stroke: Hemorrhagic,https://careweb.careguidelines.com/ed30/isc/0224600b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Stroke: Hemorrhagic
M087,M-87,Chemotherapy,https://careweb.careguidelines.com/ed30/isc/0770350b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Hematology%20-%20Oncology,,ISC - Chemotherapy
M089,M-89,Chest Pain,https://careweb.careguidelines.com/ed30/isc/0408020b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Chest Pain
M123,M-123,Dehydration,https://careweb.careguidelines.com/ed30/isc/1408200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Dehydration
M130,M-130,Diabetes,https://careweb.careguidelines.com/ed30/isc/0952010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Endocrinology,,ISC - Diabetes
M134,M-134,"Diabetes, Hypoglycemia",https://careweb.careguidelines.com/ed30/isc/0952250b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Endocrinology,,"ISC - Diabetes, Hypoglycemia"
M150,M-150,"Diverticulitis, Acute",https://careweb.careguidelines.com/ed30/isc/1407500b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,"ISC - Diverticulitis, Acute"
M152,M-152,Dizziness,https://careweb.careguidelines.com/ed30/isc/0631200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Dizziness
M153,M-153,Drug Ingestion or Overdose,https://careweb.careguidelines.com/ed30/isc/1673010m.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Drug Ingestion or Overdose
M154,M-154,Cardiac Catheter Ablation,https://careweb.careguidelines.com/ed30/isc/0466150b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Cardiac Catheter Ablation
M157,M-157,Cardioverter-Defibrillator Insertion,https://careweb.careguidelines.com/ed30/isc/0466170b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Cardioverter-Defibrillator Insertion
M160,M-160,"Sepsis and Other Febrile Illness, without Focal Infection",https://careweb.careguidelines.com/ed30/isc/0838010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,"ISC - Sepsis and Other Febrile Illness, without Focal Infection"
M170,M-170,Gastroenteritis,https://careweb.careguidelines.com/ed30/isc/1406550b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Gastroenteritis
M180,M-180,"Gastrointestinal Bleeding, Upper",https://careweb.careguidelines.com/ed30/isc/1406020b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,"ISC - Gastrointestinal Bleeding, Upper"
M182,M-182,"Gastrointestinal Bleeding, Lower",https://careweb.careguidelines.com/ed30/isc/1407950b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,"ISC - Gastrointestinal Bleeding, Lower"
M185,M-185,Headache,https://careweb.careguidelines.com/ed30/isc/0202010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Headache
M190,M-190,Heart Failure,https://careweb.careguidelines.com/ed30/isc/0445010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Heart Failure
M197,M-197,Hypertension,https://careweb.careguidelines.com/ed30/isc/0422010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Hypertension
M200,M-200,Ileus,https://careweb.careguidelines.com/ed30/isc/1407110b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Ileus
M210,M-210,Intestinal Obstruction,https://careweb.careguidelines.com/ed30/isc/1407100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Intestinal Obstruction
M221,M-221,"Meningitis, Suspected or Viral",https://careweb.careguidelines.com/ed30/isc/0202220b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Meningitis, Suspected or Viral"
M222,M-222,"Meningitis, Bacterial",https://careweb.careguidelines.com/ed30/isc/0202230b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Meningitis, Bacterial"
M230,M-230,Myocardial Infarction,https://careweb.careguidelines.com/ed30/isc/0428150b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Myocardial Infarction
M240,M-240,Myocarditis,https://careweb.careguidelines.com/ed30/isc/0445550b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Myocarditis
M250,M-250,Pancreatitis,https://careweb.careguidelines.com/ed30/isc/1453010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Pancreatitis
M251,M-251,"Pancreatitis, with Common Duct Stone",https://careweb.careguidelines.com/ed30/isc/1453100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,"ISC - Pancreatitis, with Common Duct Stone"
M255,M-255,"Paraplegia, Acute",https://careweb.careguidelines.com/ed30/isc/0202540b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Paraplegia, Acute"
M270,M-270,Pericarditis,https://careweb.careguidelines.com/ed30/isc/0456010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Pericarditis
M305,M-305,"Tetraplegia, Acute",https://careweb.careguidelines.com/ed30/isc/0202550b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - Tetraplegia, Acute"
M310,M-310,"Endovascular Intervention, Renal Artery or Renal Vein",https://careweb.careguidelines.com/ed30/isc/0457040b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Nephrology,,"ISC - Endovascular Intervention, Renal Artery or Renal Vein"
M320,M-320,Renal Colic and Kidney Stones,https://careweb.careguidelines.com/ed30/isc/1304100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Nephrology,,ISC - Renal Colic and Kidney Stones
M325,M-325,"Renal Failure, Chronic",https://careweb.careguidelines.com/ed30/isc/1304220b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Nephrology,,"ISC - Renal Failure, Chronic"
M326,M-326,"Renal Failure, Acute",https://careweb.careguidelines.com/ed30/isc/1304200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Nephrology,,"ISC - Renal Failure, Acute"
M327,M-327,Seizure,https://careweb.careguidelines.com/ed30/isc/0202100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Seizure
M331,M-331,Sickle Cell Disease,https://careweb.careguidelines.com/ed30/isc/0764300b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Hematology%20-%20Oncology,,ISC - Sickle Cell Disease
M333,M-333,"Left Atrial Appendage Closure, Percutaneous",https://careweb.careguidelines.com/ed30/isc/isc_05096.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,"ISC - Left Atrial Appendage Closure, Percutaneous"
M334,M-334,Infective Endocarditis,https://careweb.careguidelines.com/ed30/isc/0405060b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Infective Endocarditis
M340,M-340,Syncope,https://careweb.careguidelines.com/ed30/isc/0466200b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Syncope
M360,M-360,Transient Ischemic Attack (TIA),https://careweb.careguidelines.com/ed30/isc/0224300b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,ISC - Transient Ischemic Attack (TIA)
M370,M-370,Vomiting,https://careweb.careguidelines.com/ed30/isc/1406100b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Vomiting
M505,M-505,Atrial Fibrillation,https://careweb.careguidelines.com/ed30/isc/0466010b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Atrial Fibrillation
M510,M-510,Supraventricular Arrhythmia,https://careweb.careguidelines.com/ed30/isc/0466300b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Supraventricular Arrhythmia
M550,M-550,Esophageal Disease,https://careweb.careguidelines.com/ed30/isc/1433289b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Esophageal Disease
M555,M-555,Gallbladder or Bile Duct Inflammation or Obstruction,https://careweb.careguidelines.com/ed30/isc/1436360b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Gallbladder or Bile Duct Inflammation or Obstruction
M560,M-560,Gastritis and Duodenitis,https://careweb.careguidelines.com/ed30/isc/1433270b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Gastritis and Duodenitis
M565,M-565,Inflammatory Bowel Disease,https://careweb.careguidelines.com/ed30/isc/1407610b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Inflammatory Bowel Disease
M570,M-570,Liver Disease,https://careweb.careguidelines.com/ed30/isc/1441160b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Gastroenterology,,ISC - Liver Disease
M575,M-575,Ventricular Arrhythmia,https://careweb.careguidelines.com/ed30/isc/0445590b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Cardiology,,ISC - Ventricular Arrhythmia
M580,M-580,"EEG, Video Monitoring",https://careweb.careguidelines.com/ed30/isc/ac02_039.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Neurology,,"ISC - EEG, Video Monitoring"
M585,M-585,"Anorexia Nervosa, Adult",https://careweb.careguidelines.com/ed30/isc/isc_1606.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Behavioral%20Health,,"ISC - Anorexia Nervosa, Adult"
M590,M-590,Delirium,https://careweb.careguidelines.com/ed30/isc/isc_1604.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Behavioral%20Health,,ISC - Delirium
M595,M-595,"Substance-Related Disorders, Adult",https://careweb.careguidelines.com/ed30/isc/isc_1605.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Behavioral%20Health,,"ISC - Substance-Related Disorders, Adult"
M600,M-600,Osteomyelitis,https://careweb.careguidelines.com/ed30/isc/0100430b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,ISC - Osteomyelitis
M605,M-605,Septic Arthritis,https://careweb.careguidelines.com/ed30/isc/0100440b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,ISC - Septic Arthritis
M610,M-610,Venom Exposure from Bite or Sting,https://careweb.careguidelines.com/ed30/isc/0100450b.htm,high,page_body,h1,https://careweb.careguidelines.com/ed30/scripts/toc.pl?product=isc&rootPath=Optimal%20Recovery%20Guidelines&rootPath=Infectious%20Disease,,ISC - Venom Exposure from Bite or Sting
