logic_node_id,parent_logic_node_id,logic_depth,node_kind,operator,condition_key,measurement,value,unit,linked_domain_node_id,original_text
logic.M083.p3.root,,0,atomic,IS_TRUE,thrombolysis_or_thrombectomy_performed_or_planned_condition_present,,true,,M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 )
log.M083.ad1.0,log.M083.ad1.or,2,atomic,>,nihss_score,NIHSS,2,score,M083.admission.acute_ischemic_stroke_neurologic_findings,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 )
log.M083.ad1.1,log.M083.ad1.or,2,atomic,IS_TRUE,hemorrhagic_transformation_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Evidence of hemorrhagic transformation ( 4 ) ( 9 )
log.M083.ad1.2,log.M083.ad1.or,2,atomic,IS_TRUE,altered_mental_status_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Altered mental status ( 10 )
log.M083.ad1.3,log.M083.ad1.or,2,atomic,IS_TRUE,dysphagia_evaluation_required,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )"
log.M083.ad1.4,log.M083.ad1.or,2,atomic,IS_TRUE,significant_limb_weakness_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )"
log.M083.ad1.5,log.M083.ad1.or,2,atomic,IS_TRUE,aphasia_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Aphasia ( 4 )
log.M083.ad1.6,log.M083.ad1.or,2,atomic,IS_TRUE,gait_impairment_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Gait impairment ( 4 )
log.M083.ad1.7,log.M083.ad1.or,2,atomic,IS_TRUE,brain_imaging_finding_requiring_inpatient_care_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )"
log.M083.ad1.8,log.M083.ad1.or,2,atomic,IS_TRUE,neurologic_worsening_monitoring_required,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )"
log.M083.ad1.9,log.M083.ad1.or,2,atomic,IS_TRUE,clinical_stability_unclear_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Clinical stability unclear (eg, recurrent or worsening findings)"
log.M083.ad1.or,logic.M083.p1.root,1,composite,OR,,,,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke [ A ] with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following:"
log.M083.ad1.cx,logic.M083.p1.root,1,context,IS_TRUE,acute_ischemic_stroke_condition_present,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,Acute ischemic stroke
logic.M083.p1.root,,0,composite,AND,,,,,M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following"
log.M083.ad2.0,log.M083.ad2.or,2,atomic,IS_TRUE,hemodynamic_instability_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Hemodynamic instability ( 2 ) ( 9 ) ( 12 )
log.M083.ad2.1,log.M083.ad2.or,2,atomic,IS_TRUE,cardiac_arrhythmia_of_immediate_concern_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 )
log.M083.ad2.2,log.M083.ad2.or,2,atomic,IS_TRUE,clinically_significant_cardiac_or_vascular_disorder_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )"
log.M083.ad2.3,log.M083.ad2.or,2,atomic,IS_TRUE,cerebral_venous_thrombosis_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 )
log.M083.ad2.4,log.M083.ad2.or,2,atomic,IS_TRUE,respiratory_abnormality_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )"
log.M083.ad2.5,log.M083.ad2.or,2,atomic,IS_TRUE,prolonged_cardiac_telemetry_monitoring_required,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]"
log.M083.ad2.6,log.M083.ad2.or,2,atomic,IS_TRUE,suspected_vasculitis_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Suspected vasculitis ( 21 ) ( 22 )
log.M083.ad2.htn.sbp,log.M083.ad2.htn.or,3,atomic,>,systolic_blood_pressure_mmhg,SBP,180,mmHg,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Systolic blood pressure greater than 180 mm Hg
log.M083.ad2.htn.dbp,log.M083.ad2.htn.or,3,atomic,>,diastolic_blood_pressure_mmhg,DBP,120,mmHg,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Diastolic blood pressure greater than 120 mm Hg
log.M083.ad2.htn.ped,log.M083.ad2.htn.or,3,atomic,IS_TRUE,pediatric_severe_hypertension_threshold_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )"
log.M083.ad2.htn.or,log.M083.ad2.or,2,composite,OR,,,,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )"
log.M083.ad2.or,logic.M083.p2.root,1,composite,OR,,,,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:"
log.M083.ad2.cx,logic.M083.p2.root,1,context,IS_TRUE,acute_ischemic_stroke_condition_present,,true,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,Acute ischemic stroke
logic.M083.p2.root,,0,composite,AND,,,,,M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following"
